ticker,accuracy,precision,recall,f1,test_size,features,model_type,accuracy_bin
IDXX,0.43243243243243246,0.4,0.8636363636363636,0.5467625899280576,111,13,Ensemble,<50%
DASH,1.0,1.0,1.0,1.0,282,13,Ensemble,90-100%
BNB-USD,1.0,1.0,1.0,1.0,190,13,Ensemble,90-100%
COST,0.5919540229885057,0.5344827586206896,0.7848101265822784,0.6358974358974359,174,13,Ensemble,50-60%
DOGE-USD,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
USD1-USD,0.7368421052631579,0.7368421052631579,1.0,0.8484848484848485,19,13,Ensemble,70-80%
BFUSD-USD,0.7777777777777778,0.7540983606557377,0.7796610169491526,0.7666666666666667,126,13,Ensemble,70-80%
PANW,0.4943820224719101,0.75,0.3157894736842105,0.4444444444444444,89,13,Ensemble,<50%
BTC-USD,0.8813559322033898,0.908256880733945,0.8461538461538461,0.8761061946902655,236,13,Ensemble,80-90%
VRSK,0.9788359788359788,0.9591836734693877,1.0,0.9791666666666666,189,13,Ensemble,90-100%
PEP,0.8686440677966102,0.816,0.9272727272727272,0.8680851063829788,236,13,Ensemble,80-90%
CSCO,0.8389830508474576,0.7573529411764706,0.9537037037037037,0.8442622950819673,236,13,Ensemble,80-90%
FAST,0.5617977528089888,0.4117647058823529,0.42424242424242425,0.417910447761194,89,13,Ensemble,50-60%
REGN,0.7303370786516854,0.7303370786516854,1.0,0.8441558441558441,89,13,Ensemble,70-80%
NXPI,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
CTAS,0.8941798941798942,0.9361702127659575,0.8627450980392157,0.8979591836734694,189,13,Ensemble,80-90%
GILD,0.7777777777777778,0.7758620689655172,0.7758620689655172,0.7758620689655172,117,13,Ensemble,70-80%
META,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
CSX,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
USDE-USD,0.5132275132275133,0.7931034482758621,0.21100917431192662,0.3333333333333333,189,13,Ensemble,50-60%
GOOGL,0.8898305084745762,0.8421052631578947,0.9572649572649573,0.896,236,13,Ensemble,80-90%
PLTR,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
ALNY,0.5617977528089888,0.4067796610169492,0.8571428571428571,0.5517241379310345,89,13,Ensemble,50-60%
SNPS,0.847457627118644,0.7941176470588235,0.9310344827586207,0.8571428571428571,236,13,Ensemble,80-90%
JUP-USD,0.6533333333333333,0.44680851063829785,0.44680851063829785,0.44680851063829785,150,13,Ensemble,60-70%
DOT-USD,0.8347457627118644,0.7593984962406015,0.9351851851851852,0.8381742738589212,236,13,Ensemble,80-90%
SUI-USD,0.5454545454545454,0.4444444444444444,1.0,0.6153846153846154,11,13,Ensemble,50-60%
XAUT-USD,0.3505747126436782,0.8181818181818182,0.14173228346456693,0.24161073825503357,174,13,Ensemble,<50%
QNT-USD,0.5147058823529411,0.36363636363636365,0.5,0.42105263157894735,136,13,Ensemble,50-60%
GOOG,0.8601694915254238,0.819047619047619,0.86,0.8390243902439024,236,13,Ensemble,80-90%
MCHP,0.9894179894179894,1.0,0.9787234042553191,0.989247311827957,189,13,Ensemble,90-100%
EA,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
DAI-USD,0.6838235294117647,0.6506024096385542,0.7941176470588235,0.7152317880794702,136,13,Ensemble,60-70%
ROP,0.9523809523809523,0.912621359223301,1.0,0.9543147208121827,189,13,Ensemble,90-100%
USDS-USD,0.34394904458598724,0.34394904458598724,1.0,0.5118483412322274,157,13,Ensemble,<50%
BCH-USD,0.8771186440677966,0.9411764705882353,0.8067226890756303,0.8687782805429864,236,13,Ensemble,80-90%
XLM-USD,0.4338235294117647,0.32710280373831774,0.875,0.47619047619047616,136,13,Ensemble,<50%
A7A5-USD,0.29213483146067415,0.2840909090909091,1.0,0.4424778761061947,89,13,Ensemble,<50%
AEP,0.8559322033898306,0.8099173553719008,0.8990825688073395,0.8521739130434782,236,13,Ensemble,80-90%
PEPE-USD,0.45588235294117646,0.4583333333333333,0.1527777777777778,0.22916666666666666,136,13,Ensemble,<50%
DXCM,0.2867647058823529,0.291044776119403,0.9512195121951219,0.44571428571428573,136,13,Ensemble,<50%
CRWD,0.8389830508474576,0.7669172932330827,0.9357798165137615,0.8429752066115702,236,13,Ensemble,80-90%
TRI,0.45588235294117646,0.35514018691588783,0.8837209302325582,0.5066666666666667,136,13,Ensemble,<50%
WBT-USD,0.9947089947089947,0.9893617021276596,1.0,0.9946524064171123,189,13,Ensemble,90-100%
CCEP,0.8686440677966102,0.8384615384615385,0.9159663865546218,0.8755020080321285,236,13,Ensemble,80-90%
ADP,0.9629629629629629,0.9479166666666666,0.978494623655914,0.9629629629629629,189,13,Ensemble,90-100%
SHIB-USD,0.8601694915254238,0.8173913043478261,0.8867924528301887,0.8506787330316742,236,13,Ensemble,80-90%
MNST,0.6222222222222222,0.5072463768115942,0.6730769230769231,0.5785123966942148,135,13,Ensemble,60-70%
SKY-USD,1.0,1.0,1.0,1.0,282,13,Ensemble,90-100%
OKB-USD,0.39705882352941174,0.3132530120481928,0.5098039215686274,0.3880597014925373,136,13,Ensemble,<50%
MORPHO-USD,0.4338235294117647,0.32710280373831774,0.875,0.47619047619047616,136,13,Ensemble,<50%
BONK-USD,1.0,1.0,1.0,1.0,249,13,Ensemble,90-100%
TEAM,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
CEG,0.5132275132275133,0.16666666666666666,0.011363636363636364,0.02127659574468085,189,13,Ensemble,50-60%
EXC,0.8813559322033898,0.8715596330275229,0.8715596330275229,0.8715596330275229,236,13,Ensemble,80-90%
LINK-USD,0.4632352941176471,0.38392857142857145,0.9148936170212766,0.5408805031446541,136,13,Ensemble,<50%
PYPL,0.847457627118644,0.8264462809917356,0.8695652173913043,0.847457627118644,236,13,Ensemble,80-90%
ADA-USD,1.0,1.0,1.0,1.0,282,13,Ensemble,90-100%
BGB-USD,0.9259259259259259,0.8715596330275229,1.0,0.9313725490196079,189,13,Ensemble,90-100%
FIL-USD,1.0,1.0,1.0,1.0,273,13,Ensemble,90-100%
CTSH,0.8686440677966102,0.8384615384615385,0.9159663865546218,0.8755020080321285,236,13,Ensemble,80-90%
USDD-USD,0.3707865168539326,1.0,0.034482758620689655,0.06666666666666667,89,13,Ensemble,<50%
ADI,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
KLAC,0.8432203389830508,0.7984496124031008,0.9035087719298246,0.8477366255144033,236,13,Ensemble,80-90%
FIGR_HELOC-USD,0.41911764705882354,0.36893203883495146,0.7307692307692307,0.49032258064516127,136,13,Ensemble,<50%
KHC,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
AAPL,0.5666666666666667,0.6025641025641025,0.39166666666666666,0.47474747474747475,240,13,Ensemble,50-60%
RAIN-USD,0.8601694915254238,0.823076923076923,0.9145299145299145,0.8663967611336032,236,13,Ensemble,80-90%
INSM,0.3915343915343915,0.4148936170212766,0.3939393939393939,0.40414507772020725,189,13,Ensemble,<50%
AMAT,0.3862433862433862,0.6086956521739131,0.11570247933884298,0.19444444444444445,189,13,Ensemble,<50%
TXN,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
ETH-USD,0.885593220338983,0.8962264150943396,0.8558558558558559,0.8755760368663594,236,13,Ensemble,80-90%
BDX-USD,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
SOL-USD,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6956521739130435,42,13,Ensemble,60-70%
QQQ,0.6404494382022472,0.5238095238095238,0.6470588235294118,0.5789473684210527,89,13,Ensemble,60-70%
NFLX,0.4656084656084656,0.3660130718954248,0.9333333333333333,0.5258215962441315,189,13,Ensemble,<50%
USD0-USD,0.5740740740740741,0.6515151515151515,0.38392857142857145,0.48314606741573035,216,13,Ensemble,50-60%
QCOM,0.8771186440677966,0.95,0.7983193277310925,0.867579908675799,236,13,Ensemble,80-90%
ETC-USD,0.8389830508474576,0.762962962962963,0.944954128440367,0.8442622950819673,236,13,Ensemble,80-90%
SBUX,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
XDC-USD,0.5514705882352942,0.41935483870967744,0.8478260869565217,0.5611510791366906,136,13,Ensemble,50-60%
USDG-USD,0.8087431693989071,0.7326732673267327,0.9024390243902439,0.8087431693989071,183,13,Ensemble,80-90%
KAS-USD,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
EUTBL-USD,0.8177966101694916,0.7555555555555555,0.9107142857142857,0.8259109311740891,236,13,Ensemble,80-90%
HBAR-USD,1.0,1.0,1.0,1.0,282,13,Ensemble,90-100%
AAVE-USD,0.5,0.44554455445544555,0.7894736842105263,0.569620253164557,136,13,Ensemble,<50%
PDD,0.8432203389830508,0.776,0.9150943396226415,0.8398268398268398,236,13,Ensemble,80-90%
PCAR,0.8601694915254238,0.8416666666666667,0.8782608695652174,0.8595744680851064,236,13,Ensemble,80-90%
TAO-USD,0.7303370786516854,0.7303370786516854,1.0,0.8441558441558441,89,13,Ensemble,70-80%
INTC,0.9047619047619048,0.8775510204081632,0.9347826086956522,0.9052631578947369,189,13,Ensemble,90-100%
MSTR,0.8559322033898306,0.8015873015873016,0.9181818181818182,0.8559322033898306,236,13,Ensemble,80-90%
ZEC-USD,0.5220588235294118,0.45,0.8181818181818182,0.5806451612903226,136,13,Ensemble,50-60%
BUIDL-USD,0.8359788359788359,0.8348623853211009,0.875,0.8544600938967136,189,13,Ensemble,80-90%
INTU,0.5168539325842697,0.85,0.2982456140350877,0.44155844155844154,89,13,Ensemble,50-60%
ASTER-USD,0.4632352941176471,0.3826086956521739,0.9565217391304348,0.546583850931677,136,13,Ensemble,<50%
USYC-USD,0.33088235294117646,0.32592592592592595,1.0,0.49162011173184356,136,13,Ensemble,<50%
KCS-USD,0.4943820224719101,0.35294117647058826,0.15,0.21052631578947367,89,13,Ensemble,<50%
RLUSD-USD,0.8786127167630058,0.8461538461538461,0.9166666666666666,0.88,173,13,Ensemble,80-90%
MRVL,0.8783068783068783,0.8804347826086957,0.8709677419354839,0.8756756756756757,189,13,Ensemble,80-90%
BKNG,0.4157303370786517,0.4157303370786517,1.0,0.5873015873015873,89,13,Ensemble,<50%
USDT-USD,0.4295774647887324,0.8,0.20833333333333334,0.3305785123966942,142,13,Ensemble,<50%
ATOM-USD,0.35106382978723405,0.35271317829457366,0.8504672897196262,0.4986301369863014,282,13,Ensemble,<50%
PUMP-USD,0.5393258426966292,0.5384615384615384,0.7608695652173914,0.6306306306306306,89,13,Ensemble,50-60%
ARM,0.4973544973544973,0.41739130434782606,0.631578947368421,0.5026178010471204,189,13,Ensemble,<50%
FER,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
ARB-USD,0.885593220338983,0.8247422680412371,0.8888888888888888,0.8556149732620321,236,13,Ensemble,80-90%
ROST,0.29411764705882354,0.2781954887218045,1.0,0.43529411764705883,136,13,Ensemble,<50%
SLV,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
XMR-USD,0.4514285714285714,0.4897959183673469,0.25263157894736843,0.3333333333333333,175,13,Ensemble,<50%
MELI,0.36764705882352944,0.362962962962963,1.0,0.532608695652174,136,13,Ensemble,<50%
MSFT,0.35294117647058826,0.35294117647058826,1.0,0.5217391304347826,136,13,Ensemble,<50%
FLR-USD,1.0,1.0,1.0,1.0,282,13,Ensemble,90-100%
GT-USD,0.5769230769230769,1.0,0.01,0.019801980198019802,234,13,Ensemble,50-60%
GLD,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
JAAA-USD,0.9470899470899471,0.9047619047619048,1.0,0.95,189,13,Ensemble,90-100%
TSLA,0.5767195767195767,0.6216216216216216,0.25842696629213485,0.36507936507936506,189,13,Ensemble,50-60%
PYUSD-USD,1.0,1.0,1.0,1.0,282,13,Ensemble,90-100%
ICP-USD,0.5280898876404494,0.6190476190476191,0.2765957446808511,0.38235294117647056,89,13,Ensemble,50-60%
AMD,0.6404494382022472,0.5238095238095238,0.6470588235294118,0.5789473684210527,89,13,Ensemble,60-70%
CDNS,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
NVDA,0.4943820224719101,0.0,0.0,0.0,89,13,Ensemble,<50%
USO,0.8194444444444444,0.8157894736842105,0.8378378378378378,0.8266666666666667,144,13,Ensemble,80-90%
SPY,0.41911764705882354,0.36893203883495146,0.7307692307692307,0.49032258064516127,136,13,Ensemble,<50%
DDOG,0.5238095238095238,0.36363636363636365,0.26666666666666666,0.3076923076923077,189,13,Ensemble,50-60%
CHTR,0.864406779661017,0.8106060606060606,0.9385964912280702,0.8699186991869918,236,13,Ensemble,80-90%
HTX-USD,0.9067796610169492,0.8235294117647058,0.9545454545454546,0.8842105263157894,236,13,Ensemble,90-100%
KDP,0.4603174603174603,0.5463917525773195,0.4774774774774775,0.5096153846153846,189,13,Ensemble,<50%
MDLZ,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
WDC,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
FANG,0.847457627118644,0.8095238095238095,0.8947368421052632,0.85,236,13,Ensemble,80-90%
USDTB-USD,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
TON-USD,0.864406779661017,0.8064516129032258,0.9259259259259259,0.8620689655172413,236,13,Ensemble,80-90%
WMT,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
ONDO-USD,0.375886524822695,0.33755274261603374,0.8080808080808081,0.47619047619047616,282,13,Ensemble,<50%
LTC-USD,0.41843971631205673,0.38996138996138996,0.9439252336448598,0.5519125683060109,282,13,Ensemble,<50%
UNI-USD,0.6,0.6,1.0,0.75,15,13,Ensemble,50-60%
LIN,0.9576719576719577,0.967741935483871,0.9473684210526315,0.9574468085106383,189,13,Ensemble,90-100%
MPWR,1.0,1.0,1.0,1.0,189,13,Ensemble,90-100%
HYPE-USD,0.4090909090909091,0.25,0.8,0.38095238095238093,66,13,Ensemble,<50%
GEHC,0.37566137566137564,0.3655913978494624,1.0,0.5354330708661418,189,13,Ensemble,<50%
USTB-USD,0.35294117647058826,0.35294117647058826,1.0,0.5217391304347826,136,13,Ensemble,<50%
MNT-USD,0.6404494382022472,0.6533333333333333,0.8909090909090909,0.7538461538461538,89,13,Ensemble,60-70%
PIPPIN-USD,0.8125,0.8472222222222222,0.7625,0.8026315789473685,160,13,Ensemble,80-90%
CSGP,0.8389830508474576,0.75,0.9622641509433962,0.8429752066115702,236,13,Ensemble,80-90%
RENDER-USD,0.6067415730337079,0.559322033898305,0.7857142857142857,0.6534653465346535,89,13,Ensemble,60-70%
TRUMP-USD,0.8940677966101694,0.8387096774193549,0.9541284403669725,0.8927038626609443,236,13,Ensemble,80-90%
USDAI-USD,0.8461538461538461,0.7571428571428571,0.9814814814814815,0.8548387096774194,117,13,Ensemble,80-90%
ADBE,0.5056179775280899,0.4927536231884058,0.7906976744186046,0.6071428571428571,89,13,Ensemble,50-60%
ORLY,0.4708994708994709,0.43373493975903615,0.9230769230769231,0.5901639344262295,189,13,Ensemble,<50%
ALGO-USD,0.43617021276595747,0.36633663366336633,0.7047619047619048,0.4820846905537459,282,13,Ensemble,<50%
CPRT,0.29213483146067415,0.20634920634920634,0.5,0.29213483146067415,89,13,Ensemble,<50%
GHO-USD,0.3707865168539326,1.0,0.034482758620689655,0.06666666666666667,89,13,Ensemble,<50%
NIGHT-USD,0.5338983050847458,0.5714285714285714,0.23931623931623933,0.3373493975903614,236,13,Ensemble,50-60%
BKR,0.6173913043478261,0.7011494252873564,0.7721518987341772,0.7349397590361446,115,13,Ensemble,60-70%
APP,0.6741573033707865,0.4,0.4166666666666667,0.40816326530612246,89,13,Ensemble,60-70%
SHOP,0.864406779661017,0.8348623853211009,0.8666666666666667,0.8504672897196262,236,13,Ensemble,80-90%
LEO-USD,0.6029411764705882,0.5517241379310345,0.7619047619047619,0.64,136,13,Ensemble,60-70%
CMCSA,0.4453125,0.48148148148148145,0.37681159420289856,0.42276422764227645,128,13,Ensemble,<50%
